group,replicate,fastq_1,fastq_2,antibody,control,fastq1_url,fastq2_url
DDX20-human,1,ENCFF071FDG.fastq.gz,ENCFF881HGO.fastq.gz,DDX20,rabbit-IgG-control,https://www.encodeproject.org/files/ENCFF071FDG/@@download/ENCFF071FDG.fastq.gz,https://www.encodeproject.org/files/ENCFF881HGO/@@download/ENCFF881HGO.fastq.gz
DDX20-human,2,ENCFF077SBC.fastq.gz,ENCFF706WJQ.fastq.gz,DDX20,rabbit-IgG-control,https://www.encodeproject.org/files/ENCFF077SBC/@@download/ENCFF077SBC.fastq.gz,https://www.encodeproject.org/files/ENCFF706WJQ/@@download/ENCFF706WJQ.fastq.gz
DDX20-human,3,ENCFF129CFJ.fastq.gz,ENCFF674JSK.fastq.gz,DDX20,rabbit-IgG-control,https://www.encodeproject.org/files/ENCFF129CFJ/@@download/ENCFF129CFJ.fastq.gz,https://www.encodeproject.org/files/ENCFF674JSK/@@download/ENCFF674JSK.fastq.gz
DDX20-human,4,ENCFF771DFR.fastq.gz,ENCFF931EDX.fastq.gz,DDX20,rabbit-IgG-control,https://www.encodeproject.org/files/ENCFF771DFR/@@download/ENCFF771DFR.fastq.gz,https://www.encodeproject.org/files/ENCFF931EDX/@@download/ENCFF931EDX.fastq.gz
rabbit-IgG-control,1,ENCFF002EFA.fastq.gz,ENCFF002EFD.fastq.gz,,,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
rabbit-IgG-control,2,ENCFF969JRS.fastq.gz,ENCFF467ZVS.fastq.gz,,,https://www.encodeproject.org/files/ENCFF969JRS/@@download/ENCFF969JRS.fastq.gz,https://www.encodeproject.org/files/ENCFF467ZVS/@@download/ENCFF467ZVS.fastq.gz
rabbit-IgG-control,3,ENCFF467ZVS.fastq.gz,ENCFF969JRS.fastq.gz,,,https://www.encodeproject.org/files/ENCFF467ZVS/@@download/ENCFF467ZVS.fastq.gz,https://www.encodeproject.org/files/ENCFF969JRS/@@download/ENCFF969JRS.fastq.gz
rabbit-IgG-control,4,ENCFF002EFF.fastq.gz,ENCFF002EFH.fastq.gz,,,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
LEF1,1,ENCFF643QTB.fastq.gz,ENCFF103BRX.fastq.gz,LEF1,WT_INPUT,https://www.encodeproject.org/files/ENCFF643QTB/@@download/ENCFF643QTB.fastq.gz,https://www.encodeproject.org/files/ENCFF103BRX/@@download/ENCFF103BRX.fastq.gz
LEF1,2,ENCFF238ZLM.fastq.gz,ENCFF211HML.fastq.gz,LEF1,WT_INPUT,https://www.encodeproject.org/files/ENCFF238ZLM/@@download/ENCFF238ZLM.fastq.gz,https://www.encodeproject.org/files/ENCFF211HML/@@download/ENCFF211HML.fastq.gz
LEF1,3,ENCFF850KNY.fastq.gz,ENCFF037ZGC.fastq.gz,LEF1,WT_INPUT,https://www.encodeproject.org/files/ENCFF850KNY/@@download/ENCFF850KNY.fastq.gz,https://www.encodeproject.org/files/ENCFF037ZGC/@@download/ENCFF037ZGC.fastq.gz
LEF1,4,ENCFF087CSK.fastq.gz,ENCFF660QON.fastq.gz,LEF1,WT_INPUT,https://www.encodeproject.org/files/ENCFF087CSK/@@download/ENCFF087CSK.fastq.gz,https://www.encodeproject.org/files/ENCFF660QON/@@download/ENCFF660QON.fastq.gz
WT_INPUT,1,ENCFF002EFD.fastq.gz,ENCFF002EFA.fastq.gz,,,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
WT_INPUT,2,ENCFF002EFH.fastq.gz,ENCFF002EFF.fastq.gz,,,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
WT_INPUT,3,ENCFF410PHD.fastq.gz,ENCFF368UOC.fastq.gz,,,https://www.encodeproject.org/files/ENCFF410PHD/@@download/ENCFF410PHD.fastq.gz,https://www.encodeproject.org/files/ENCFF368UOC/@@download/ENCFF368UOC.fastq.gz
WT_INPUT,4,ENCFF240DTE.fastq.gz,ENCFF608MDV.fastq.gz,,,https://www.encodeproject.org/files/ENCFF240DTE/@@download/ENCFF240DTE.fastq.gz,https://www.encodeproject.org/files/ENCFF608MDV/@@download/ENCFF608MDV.fastq.gz
HDAC3-human,3,ENCFF942ZRE.fastq.gz,ENCFF908SKY.fastq.gz,HDAC3-human,input_library,https://www.encodeproject.org/files/ENCFF942ZRE/@@download/ENCFF942ZRE.fastq.gz,https://www.encodeproject.org/files/ENCFF908SKY/@@download/ENCFF908SKY.fastq.gz
HDAC3-human,4,ENCFF770NDG.fastq.gz,ENCFF369MSV.fastq.gz,HDAC3-human,input_library,https://www.encodeproject.org/files/ENCFF770NDG/@@download/ENCFF770NDG.fastq.gz,https://www.encodeproject.org/files/ENCFF369MSV/@@download/ENCFF369MSV.fastq.gz
input_library,3,ENCFF498JMO.fastq.gz,ENCFF502GTS.fastq.gz,,"        		",https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz
input_library,4,ENCFF259GQA.fastq.gz,ENCFF837MIV.fastq.gz,,"      		",https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz